,Date Run,Backtest_id,Ticker,algo,Prediction Window,Lookback Window,Number of Estimators,Max Depth,Annualized Return,Benchmark Annualized Return,Active Annualized Return,Cumulative Returns,Sharpe Ratio,Benchmark Sharpe Ratio,Sortino Ratio,Max Drawdown,Mean Squared Error
0,2023-08-16,6335a6d8-0cbd-4d2e-a9c3-9123fbb86b89,^GSPC,xg,21,2560,10,5,0.08376330746841743,0.07275435282144582,0.011008954646971603,256.80878630131076,0.4808886956369115,0.4433022664859537,0.6688324244722393,-0.57194736069107,5.422366239332331
0,2023-08-16,8169e36a-56f4-45db-99d8-e3e7614b427e,^GSPC,xg,3,256,2,1,0.06184162625763556,0.09070643134624268,-0.028864805088607115,1252.7592274188482,0.515063260475365,0.5734007274388945,0.7138229791937662,-0.39424358511036645,1.8799305216175226
0,2023-08-16,ecef4577-995b-47b1-990a-26a52a08c2b6,^GSPC,linreg,3,256,2,1,0.018421258331977164,0.09070643134624268,-0.07228517301426551,120.86189982566538,0.20422663216053596,0.5734007274388945,0.2761847345354969,-0.6564143612622013,6.043841884436258
0,2023-08-16,6a20d2f5-6de8-4186-b00f-6d26fdc9bd60,^GSPC,xg,3,512,2,1,0.062430884616038185,0.08718834398902753,-0.024757459372989343,1052.469179743705,0.4972193052008053,0.5526991760888865,0.6857319272650616,-0.5599425386865812,1.88305149397371
0,2023-08-16,4be2e37c-bc1b-409e-a9dd-82d8ee2ff797,^GSPC,linreg,3,512,2,1,0.05213537788945821,0.08718834398902753,-0.035052966099569316,677.8983525140179,0.46766271297933737,0.5526991760888865,0.6580598739756286,-0.60340346999369,164.4316729679635
0,2023-08-16,429f5194-0614-4681-930a-8e69c87d955b,^GSPC,xg,3,768,2,1,0.07349577375587835,0.08123749599816699,-0.00774172224228864,1310.9533403414134,0.5672368070688614,0.514922910483618,0.792066351296945,-0.4960392824963306,1.877601935006731
0,2023-08-16,5cbb2010-f043-498f-8462-2da9cdbbfdc3,^GSPC,linreg,3,768,2,1,0.0352852189972197,0.08123749599816699,-0.045952277000947284,264.8053673174355,0.3351838701649682,0.514922910483618,0.4659911048349614,-0.6595910833179683,8.77790211043044
0,2023-08-16,57feeb43-4883-47f8-827a-efb8c298bbee,^GSPC,xg,3,1280,2,1,0.052438565938758064,0.07897853362897211,-0.02653996769021405,393.61042125924996,0.4165249521766773,0.504112056642364,0.5783869084658135,-0.5784007353166386,1.9160106458681754
0,2023-08-16,e32ce817-b15d-4a95-a001-6f8026b2bfd7,^GSPC,linreg,3,1280,2,1,0.0467780967813296,0.07897853362897211,-0.03220043684764251,317.0813013555051,0.4052708489827455,0.504112056642364,0.5729607142201552,-0.49348215158506775,2.5470343994085467
0,2023-08-16,3be0efb4-3bda-4da0-9e47-5a12274141c1,^GSPC,xg,3,1920,2,1,0.03896298362393891,0.05004327512895168,-0.011080291505012774,146.79789329242672,0.31044745515686234,0.34659286665507927,0.4269307824130959,-0.5444885569197225,1.8826480656149598
0,2023-08-16,b3f124f4-fd1a-4a4b-9a09-2ac80357549d,^GSPC,linreg,3,1920,2,1,0.051101475084026626,0.05004327512895168,0.0010581999550749455,224.7651951710444,0.41902368405942303,0.34659286665507927,0.5889504801409581,-0.4240684121580469,2.1034772523038767
0,2023-08-16,5da1c587-be18-4fef-92c2-79df8eb30d69,^GSPC,xg,3,2560,2,1,0.025270583484011233,0.06997611953116412,-0.04470553604715288,49.19697966307972,0.22942323686705438,0.43102632348159287,0.3054559386505904,-0.6167644127804635,1.995184329121639
0,2023-08-16,e68d80e9-75be-4c5f-a613-8d1048b33756,^GSPC,linreg,3,2560,2,1,0.07110226379575169,0.06997611953116412,0.0011261442645875697,200.7751895112992,0.5529386942538834,0.43102632348159287,0.7798530581059888,-0.4111432890312058,2.101364696096477
0,2023-08-16,b33865c7-ba0a-4259-8ab2-b95dc9e65a0a,^GSPC,xg,3,3840,2,1,0.3112537573713674,0.3112537573713674,0.0,24.931298913456978,1.666457948331546,1.666457948331546,2.776653770716993,-0.07751635836202825,2.0504785704183948
0,2023-08-16,8730dd72-6230-453a-89bb-7696178e81b2,^GSPC,linreg,3,3840,2,1,-0.024009947573876755,0.3112537573713674,-0.33526370494524416,-1.9765140961001904,-0.4598072593493915,1.666457948331546,-0.6115747680442172,-0.054524419809399975,2.112892644444946
0,2023-08-16,5ccdd058-2d33-4d13-b164-459b6e9610c7,^GSPC,xg,3,5120,2,1,,,,,,,,,2.0589180068208996
0,2023-08-16,b54b188d-9939-4d02-8af5-73cb4c4bf2d9,^GSPC,linreg,3,5120,2,1,,,,,,,,,2.1163309756712407
0,2023-09-10,8526e9e7-a5ae-4ec6-9220-c7bc1a8b0970,^GSPC,xg,3,256,2,1,0.06200380717606002,0.09083028974444707,-0.028826482568387046,1266.9684136626101,0.5162487633909683,0.574186206920854,0.71551313972222,-0.39424358511036645,1.8793775310566587
0,2023-09-10,da44a4e5-6b7f-4f71-915f-4cd99b7653d1,^GSPC,linreg,3,256,2,1,0.01839410777124728,0.09083028974444707,-0.07243618197319979,120.86189982566538,0.20407742805046608,0.574186206920854,0.2759829741326867,-0.6564143612622013,6.039793787769294
0,2023-09-10,45957bce-f2b3-480d-ab05-ea002980821f,^GSPC,xg,3,512,2,1,0.06199510651030393,0.08732661484296522,-0.02533150833266129,1037.8787517585583,0.4945598194942803,0.5535594122755774,0.682010565647924,-0.5599425386865812,1.8824666092198818
