Date,S&P_Comp_P,Dividend_D,Earnings_E,Consumer_Price_Index_CPI,Date_Fraction,Long_Interest_Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_TR_Scaled_Earnings,CAPE_one,CAPE_two,Excess_CAPE_Yield,Monthly_Total_Bond_Returns,Real_Total_Bond_Returns,10_Year_Annualized_Stock_Real_Return,10_Year_Annualized_Bond_Real_Return,Real_10_Year_Excess_Annualized_Returns,^IRX,^TNX,^TYX,TMS,TMS2
1871-01-31,4.44,0.26,0.4,12.46406116,1871.0416666666667,5.32,108.5415084725082,6.3560342799216505,108.5415084725082,9.772384653478387,9.772384653478387,,,,1.0041769357097787,1.0,0.13060944596425705,0.09250367635209922,0.038105769612157836,,,,,
1871-01-31,4.59,0.26,0.4,12.36889587,1871.791666666666,5.3500000000000005,113.07177412594712,6.4049370964588785,117.8329748261836,9.853749379167507,10.268668830168506,,,,1.0042022850942474,1.046320345645266,0.11476525767910184,0.08165265212472672,0.03311260555437512,,,,,
1871-02-28,4.5,0.26,0.4,12.84464132,1871.125,5.323333333333333,106.74879631438398,6.167708231497741,107.26277200034212,9.488781894611911,9.534468622252636,,,,1.0041797523411402,0.974423686137471,0.1308584817139513,0.09463463434450947,0.03622384736944184,,,,,
1871-03-31,4.61,0.26,0.4,13.0349719,1871.2083333333333,5.326666666666667,107.7614137396031,6.077650232602343,108.78917440702372,9.350231127080528,9.439407757659325,,,,1.0041825689642252,0.9642089857885741,0.1309508729293518,0.0961859956344644,0.03476487729488742,,,,,
1871-04-30,4.74,0.26,0.4,12.55922645,1871.2916666666665,5.33,114.9973691253891,6.3078725680593175,116.62481121407306,9.704419335475874,9.841756220596883,,,,1.0041853855790357,1.004919008380089,0.12205603761969908,0.09097190623902263,0.03108413138067645,,,,,
1871-05-31,4.86,0.26,0.4,12.27381157,1871.3749999999998,5.333333333333334,120.65054050687209,6.454555664976696,122.90347795177786,9.930085638425687,10.115512588623693,,,,1.0041882021855737,1.0325911467539233,0.12263809890224753,0.08948843719041011,0.03314966171183742,,,,,
1871-06-30,4.82,0.26,0.4,12.08348099,1871.458333333333,5.336666666666667,121.54229408027564,6.556223332131051,124.36843757027853,10.086497434047772,10.321032163508592,,,,1.0041910187838414,1.0532486237736511,0.12309279994112088,0.08772491101954372,0.03536788892157716,,,,,
1871-07-31,4.73,0.26,0.4,12.08348099,1871.5416666666663,5.34,119.27283215761491,6.556223332131051,122.60526124234583,10.086497434047772,10.36830961880303,,,,1.0041938353738404,1.0576628085399415,0.12002181566560766,0.08658085614998545,0.033440959515622204,,,,,
1871-08-31,4.79,0.26,0.4,11.8932314,1871.6249999999995,5.343333333333334,122.71795199410651,6.661099690703067,126.71723682251088,10.24784567800472,10.581815183508217,,,,1.004196651955573,1.0790882870419878,0.11193301028006664,0.08266861094518951,0.029264399334877123,,,,,
1871-09-30,4.84,0.26,0.4,12.17864628,1871.7083333333328,5.346666666666668,121.09293316301162,6.504992277351864,125.59900861504103,10.007680426695176,10.380083356614962,,,,1.0041994685290414,1.0582215453478223,0.11002820544053638,0.08104790478423318,0.028980300656303193,,,,,
1871-11-30,4.64,0.26,0.4,12.36889587,1871.8749999999993,5.3533333333333335,114.30349279834307,6.4049370964588785,119.67277799158883,9.853749379167507,10.316618792378348,,,,1.004205101651193,1.050717282037579,0.11526991934606401,0.08259325022901964,0.032676669117044366,,,,,
1871-12-31,4.74,0.26,0.4,12.65439174,1871.9583333333326,5.3566666666666665,114.13255015922246,6.260435240801232,120.04001488170329,9.631438832001896,10.129959061747114,,,,1.0042079181998806,1.031330727999685,0.11213517395572437,0.08499917774721588,0.027135996208508484,,,,,
1872-01-31,4.86,0.2633,0.4025,12.65439174,1872.0416666666658,5.36,117.02198180882303,6.3398946111652466,123.634673062927,9.691635324701908,10.239291339059285,,,,1.0030599998857486,1.0356704833401311,0.10768446401001164,0.0849309891814114,0.02275347482860024,,,,,
1872-01-31,4.97,0.2933,0.425,12.74947603,1872.7916666666652,5.5249999999999995,118.77813617098114,7.009582965583254,130.80599764265313,10.157084079007442,11.18562354087074,,,,1.0032079864556935,1.0572289881054313,0.10870071962282002,0.08557233270220443,0.023128386920615585,,,,,
1872-02-29,4.88,0.2667,0.405,12.65439174,1872.124999999999,5.378333333333333,117.50355375042311,6.421761841237263,124.70884468228545,9.751831817401918,10.349811904984756,,,,1.0030764483003818,1.038839634900825,0.10375207603565961,0.0839098290029967,0.019842247032662907,,,,,
1872-03-31,5.04,0.27,0.4075,12.84464132,1872.2083333333323,5.3966666666666665,119.55865187211008,6.40492777886304,127.45643398880131,9.666696555135884,10.30525731159455,,,,1.0030928953450977,1.0266013661348654,0.10166592292535204,0.08551458849815541,0.01615133442719663,,,,,
1872-04-30,5.18,0.2733,0.41,13.13013719,1872.2916666666656,5.415000000000001,120.20788337246614,6.3422421864276055,128.71198536239638,9.514523587395969,10.18762818505454,,,,1.0031093410217495,1.0073855331848895,0.10007866793276299,0.08688549793064304,0.013193170002119947,,,,,
1872-05-31,5.18,0.2767,0.4125,13.13013719,1872.3749999999989,5.433333333333334,120.20788337246614,6.421143113737719,129.28493591499893,9.572538975123992,10.295373757709855,,,,1.0031257853321864,1.0105178383479383,0.09776066372272174,0.08587668085729061,0.01188398286543113,,,,,
1872-06-30,5.13,0.28,0.415,13.0349719,1872.4583333333321,5.451666666666666,119.91671420480776,6.54516178895637,129.55839647154897,9.700864794346048,10.480844938731545,,,,1.003142228278255,1.0210771159167262,0.09647170562254859,0.08408634200547294,0.012385363617075651,,,,,
