"","Close","stvol","ltvol","vol_rat","sma_rat","p2h","dh","dl","dhlsig","fwdret","Return","smasig","volsig","p2hsig","score","strat"
"3452",135.270004,0.00583825263197759,0.00673543476368772,0.866796700853367,1.03513376623448,1.00066586036885,135.270004,117.43,1,0.0224678635288417,0.00133250429587695,1,1,1,3,0.00133250429587695
"3453",135.110001,0.00565448970971159,0.00671520395127125,0.842042885181639,1.03606332833111,0.998817158311018,135.270004,117.43,1,0.0142797557697944,-0.00118284168898219,1,1,1,3,-0.00118284168898219
"3454",136.279999,0.00527910539178507,0.00673405792743508,0.78394119098346,1.03712991670427,1.00746651120081,136.279999,117.43,1,0.0141712116857523,0.00865959582074161,1,1,1,3,0.00865959582074161
"3455",136.630005,0.0052366495355264,0.00670590586622414,0.780901139979015,1.03831848122688,1.00256828590085,136.630005,117.43,1,0.0201120798525816,0.00256828590085334,1,1,1,3,0.00256828590085334
"3456",136.839996,0.00522246510002706,0.00670324331434511,0.779095261073225,1.03965234279366,1.00153693180352,136.839996,117.669998,1,0.026120212288007,0.00153693180352299,1,1,1,3,0.00153693180352299
"3457",136.410004,0.00523709251173533,0.00666810149385008,0.785394840880188,1.04074961866263,0.996857702334338,136.839996,117.669998,1,0.0273693581898048,-0.00314229766566221,1,1,1,3,-0.00314229766566221
"3458",136.589996,0.0049993616052743,0.00659157934518281,0.758446700475187,1.04211534642848,0.998173048762732,136.839996,117.669998,1,0.026044830032909,0.00131949266712161,1,1,1,3,0.00131949266712161
"3459",136.809998,0.00489071207073068,0.0064891214738888,0.753678612799919,1.04331824801094,0.999780780467138,136.839996,117.669998,1,0.0263951578956157,0.0016106743278621,1,1,1,3,0.0016106743278621
"3460",136.839996,0.00477290671704186,0.00648578997826822,0.735902138834948,1.04476946255341,1,136.839996,117.669998,1,0.022797708068871,0.000219267600603423,1,1,1,3,0.000219267600603423
"3461",137.470001,0.00430691138134814,0.00642286970030951,0.670558735006035,1.04661688982407,1.00460395365694,137.470001,118.099998,1,0.0218085613685057,0.00460395365694088,1,1,1,3,0.00460395365694088
"3462",137.880005,0.00430275899540367,0.0064226679598545,0.669933277307574,1.04823858480665,1.00298249797787,137.880005,118.099998,1,0.0143525959569549,0.00298249797786809,1,1,1,3,0.00298249797786809
"3463",138.350006,0.0043105842438977,0.00642133650337684,0.671290819540582,1.0496131496704,1.00340876837073,138.350006,118.099998,1,-0.00259741130081547,0.00340876837072934,1,1,1,3,0.00340876837072934
"3464",138.779999,0.0043059322563114,0.00638329928902467,0.674562175662818,1.05108535919228,1.00310800853886,138.779999,118.099998,1,0.00801650895450899,0.00310800853886484,1,1,1,3,0.00310800853886484
"3465",137.910004,0.00427298319003098,0.00633930158934815,0.674046364541296,1.05226917027197,0.993731121153849,138.779999,118.099998,1,0.0191180395874578,-0.00626887884615146,1,1,1,3,-0.00626887884615146
"3466",137.809998,0.0042707771678924,0.006338295335268,0.673805328086976,1.053455012175,0.993010512991861,138.779999,119.800003,1,0.0196902457928699,-0.000725154064965317,1,1,1,3,-0.000725154064965317
"3467",137.789993,0.00420338281346564,0.00633654717990079,0.663355403838634,1.05480320722278,0.992866363977997,138.779999,120.129997,1,0.0242541120793834,-0.000145163633192946,1,1,1,3,-0.000145163633192946
"3468",136.860001,0.00426210118735544,0.00632227284667628,0.674140659651551,1.05572243199664,0.986165167791938,138.779999,120.489998,1,0.0324406778752836,-0.0067493435463053,1,1,1,3,-0.0067493435463053
"3469",136.779999,0.00426183067188013,0.0063180331543593,0.674550222791972,1.05606116346047,0.985588701438166,138.779999,121.75,1,0.0385049811595929,-0.00058455355410969,1,1,1,3,-0.00058455355410969
